nodes = 1
time, elementsReceived
0.000008, 1
0.000000, 2
0.000000, 4
0.000001, 8
0.000012, 16
0.000003, 32
0.000003, 64
0.000002, 128
0.000006, 256
0.000007, 512
0.000008, 1024
0.000010, 2048
0.000015, 4096
0.000026, 8192
0.000029, 16384
0.000039, 32768
0.000118, 65536
0.000205, 131072
0.000391, 262144
0.000746, 524288
